id,type,subject,author_id,age_range,gptzero,gptzero2,originality,orig_highlight,zerogpt,zero_highlight,gptkit,gptkit_highlight,copyleaks,content_ai_score,content_highlight,passed,turnitin
1230101,Academic Essay,Anthropology,12301,College,AH/AI,AH/AI,0,no,50.48,yes,14,Yes,H,0,HPAI,H,NP
1230102,Exam,History,12301,College,AH/AI,MAI,94,yes,70.01,yes,1,No,AI,0,HPAI,AI,NP
1230103,Academic Essay,History,12301,College,H,H,33,yes,15.48,yes,0,No,H,0,HPAI,AI,NP
1230104,Exam,Art History,12301,College,H,MAI,12,no,19.23,no,0,No,H,0,HPAI,H,NP
1230105,Assignment,History,12301,College,AH/AI,AH/AI,0,no,21.82,yes,1,No,H,1,HPAI,H,NP
1230106,Academic Essay,Communications,12301,College,H,H,0,no,2.52,no,4,No,H,0,HPAI,H,NP
1230107,Exam,Art History,12301,College,H,H,24,no,0,no,0,No,H,32,Official mix,H,NP
1230108,Academic Essay,History,12301,College,H,H,28,yes,24.74,yes,0,No,H,0,HPAI,H,NP
1230109,Academic Essay,History,12301,College,H,H,14,no,4.7,yes,1,No,H,0,HPAI,H,TS
1230110,Academic Essay,History,12301,College,H,HPAI/LP,3,no,18.54,yes,1,No,H,0,HPAI,H,NP
1230111,Academic Essay,History,12301,College,H,H,7,no,15.24,no,0,No,H,11,HPAI,H,NP
1230112,Exam,History,12301,College,H,H,0,no,0,yes,6,Yes,H,0,HPAI,H,NP
1230113,Assignment,History,12301,College,H,H,0,no,0,no,0,No,H,0,HPAI,H,NP
1230114,Academic Essay,History,12301,College,H,H,33,yes,6.93,yes,0,No,H,0,Not enough,AI,NP
1230115,Academic Essay,Art History,12301,College,H,H,27,yes,2.29,no,2,No,H,0,HPAI,AI,NP
1230116,Academic Essay,Anthropology,12301,College,H,H,33,no,0,no,12,Yes,H,0,HPAI,AI,NP
1230117,Academic Essay,Communications,12301,College,H,H,4,no,6.48,yes,3,No,H,0,Not enough,H,NP
1230118,Exam,History,12301,College,H,H,2,no,0,no,0,No,H,0,Not enough,AI,NP
1230119,Assignment,History,12301,College,H,H,18,no,0,no,0,No,H,0,Not enough,H,NP
1230120,Academic Essay,History,12301,College,H,H,47,yes,0,no,0,No,H,0,Not enough,AI,NP
1230121,Assignment,History,12301,College,H,H,19,no,0,no,0,No,H,0,HPAI,AI,TS
1230122,Exam,History,12301,College,H,H,24,yes,7.43,no,7,Yes,H,0,Not enough,H,NP
1230123,Academic Essay,History,12301,College,H,H,26,no,0,no,0,No,H,0,HPAI,H,NP
1230124,Academic Essay,History,12301,College,H,H,33,yes,0,no,4,Yes,H,0,HPAI,AI,NP
1230125,Academic Essay,History,12301,College,H,HPAI/LP,7,no,8.64,yes,5,Yes,H,0,HPAI,H,TS
1230126,Exam,History,12301,College,H,H,10,no,18.21,yes,1,No,H,0,HPAI,H,NP
1230127,Academic Essay,Art History,12301,College,H,H,33,yes,0,no,0,No,H,0,HPAI,AI,NP
1230128,Academic Essay,History,12301,College,H,H,34,yes,8.4,yes,0,No,H,0,HPAI,AI,NP
1230129,Academic Essay,History,12301,College,H,HPAI/LP,26,no,15.64,yes,0,No,H,0,HPAI,AI,TS
1230130,Academic Essay,History,12301,College,H,SAI,0,no,55.85,yes,9,Yes,H,0,HPAI,H,NP
1230131,Academic Essay,History,12301,College,H,H,1,no,12.45,yes,0,No,H,0,HPAI,H,NP
1230132,Exam,History,12301,College,H,H,14,no,0,no,10,No,H,0,Not enough,AI,NP
1230133,Academic Essay,History,12301,College,H,H,17,no,0,no,4,No,H,0,Not enough,AI,NP
1230134,Assignment,History,12301,College,H,H,11,no,0,no,7,Yes,H,0,Not enough,H,NP
1230135,Exam,History,12301,College,H,H,17,no,21.94,yes,1,No,H,0,HPAI,AI,H
1230136,Exam,History,12301,College,H,H,1,no,0,no,6,Yes,H,20,HPAI,H,H
1230137,Exam,History,12301,College,H,H,0,no,3.45,no,7,Yes,H,0,Not enough,H,H
1230138,Assignment,History,12301,College,H,H,86,yes,0,no,29,Yes,H,0,HPAI,H,H
1230139,Exam,History,12301,College,H,H,0,no,0,no,0,No,H,0,Not enough,H,H
1230140,Assignment,History,12301,College,H,H,48,yes,0,no,0,No,H,0,Not enough,AI,H
1230141,Assignment,History,12301,College,H,H,0,no,0,no,7,No,H,0,Not enough,H,H
1230142,Academic Essay,History,12301,College,H,H,11,no,5.19,yes,3,Yes,H,0,Not enough,H,H
1230143,Academic Essay,History,12301,College,H,H,0,no,0,no,2,Yes,H,0,HPAI,H,H
1230144,Academic Essay,History,12301,College,H,H,55,yes,0,no,2,No,H,0,HPAI,AI,H
1230145,Exam,History,12301,College,AH/AI,MAI,1,no,57.11,yes,49,Yes,H,0,Not enough,H,H
1428601,Blog Post,Opinion,14286,High School,MAI,MAI,33,yes,62.38,yes,4,Yes,H,25,Official mix,AI,AI
1428602,Admission Essay,Personal,14286,High School,AH/AI,AH/AI,100,yes,57.42,yes,5,No,H,1,HPAI,AI,H
1428603,Admission Essay,Personal,14286,High School,AH/AI,MAI,3,no,72.24,yes,3,No,H,50,Unclear,H,H
1428604,Academic Essay,English,14286,High School,H,H,24,yes,11.19,yes,7,Yes,H,0,Not enough,H,H
1428605,Literature,Literary Fiction,14286,Adult,H,H,3,no,6.97,yes,0,No,H,0,Not enough,H,H
1428606,Literature,Literary Fiction,14286,Adult,H,H,1,no,16.23,yes,1,No,H,0,Not enough,H,H
1428607,Academic Essay,Opinion,14286,High School,H,H,0,no,15.19,yes,0,No,H,0,HPAI,H,H
1428608,Admission Essay,Personal,14286,High School,H,H,70,yes,0,no,0,No,H,2,HPAI,AI,TS
1428609,Admission Essay,Personal,14286,High School,H,H,0,no,48.33,yes,0,No,H,0,HPAI,H,TS
1428610,Academic Essay,English,14286,High School,H,H,36,yes,7.42,yes,0,No,H,0,HPAI,AI,AI
1428611,Blog Post,Informational,14286,Adult,H,H,0,no,9.56,yes,5,No,H,0,Not enough,H,H
1428612,Academic Essay,English,14286,High School,H,H,49,yes,14.07,yes,0,No,H,0,HPAI,AI,AI
1428613,Blog Post,Opinion,14286,High School,H,MAI,41,yes,33.96,yes,0,No,H,0,Not enough,AI,H
1428614,Literature,Literary Fiction,14286,Adult,H,H,2,no,22.24,yes,43,No,H,0,Not enough,H,H
1428615,Academic Essay,Opinion,14286,High School,H,AH/AI,0,no,41.38,yes,0,No,H,39,Official mix,H,H
1428616,Blog Post,Opinion,14286,College,H,SAI,1,no,35.36,yes,31,Yes,H,0,HPAI,H,H
1428617,Academic Essay,Biology,14286,High School,MAI,MAI,35,no,97.22,yes,19,Yes,H,50,Unclear,H,H
1428618,Academic Essay,Biology,14286,High School,H,MAI,1,no,29.18,yes,0,No,H,0,Not enough,AI,H
1428619,Admission Essay,Personal,14286,High School,H,MAI,100,yes,71.61,yes,14,Yes,H,0,HPAI,AI,H
1428620,Blog Post,Opinion,14286,High School,H,HPAI/LP,49,yes,11.69,yes,0,No,H,0,Not enough,AI,H
1428621,Admission Essay,Personal,14286,High School,H,HPAI/LP,2,no,31.12,yes,3,No,H,0,HPAI,H,AI
1428622,Literature,Literary Fiction,14286,College,H,H,97,yes,34.26,yes,3,Yes,H,0,Not enough,AI,AI
1428623,Literature,Literary Fiction,14286,College,H,H,0,no,4.05,no,0,No,H,0,HPAI,H,H
1428624,Academic Essay,Biology,14286,College,H,MAI,12,no,90.15,yes,1,No,H,0,HPAI,AI,H
1428625,Literature,Literary Fiction,14286,High School,H,HPAI/LP,90,yes,23.54,yes,2,No,H,0,HPAI,AI,H
1428626,Literature,Literary Fiction,14286,Adult,H,H,0,no,4.3,no,0,No,H,0,HPAI,H,H
1428627,Literature,Satire,14286,College,H,H,0,no,0,no,0,No,H,0,Not enough,H,TS
1428628,Literature,Satire,14286,College,H,H,0,no,8.18,yes,0,No,H,0,Not enough,H,H
1428629,Literature,Personal,14286,College,SAI,SAI,0,no,34.39,no,0,No,H,0,Not enough,H,TS
1428630,Literature,Personal,14286,College,AH/AI,AH/AI,0,no,28.63,no,0,No,H,0,Not enough,H,H
1428631,Blog Post,Opinion,14286,High School,EAI,EAI,5,no,66.59,yes,0,No,H,0,HPAI,H,AI
1428632,Academic Essay,English,14286,High School,AH/AI,H,18,yes,9.24,yes,0,No,H,0,Not enough,AI,H
1428633,Admission Essay,Personal,14286,High School,MAI,MAI,96,yes,59.61,yes,41,No,H,0,HPAI,AI,TS
1428634,Admission Essay,Personal,14286,High School,H,AH/AI,8,no,87.1,yes,89,Yes,H,0,HPAI,H,TS
1428635,Admission Essay,Personal,14286,High School,NHAI,NHAI,54,yes,91.31,yes,5,No,H,0,Not enough,AI,TS
1428636,Admission Essay,Personal,14286,High School,H,NHAI,0,no,52.27,yes,88,Yes,H,0,Not enough,H,TS
1428637,Admission Essay,Personal,14286,High School,AH/AI,AH/AI,3,no,48,yes,62,Yes,H,0,HPAI,H,TS
1428638,Job Application,Professional,14286,Adult,H,H,10,no,24.94,yes,24,No,AI,1,HPAI,H,TS
1428639,Job Application,Professional,14286,Adult,H,AH/AI,99,yes,88.69,yes,2,No,H,1,HPAI,AI,TS
