PAPER_ID,GPTZERO,TITLE,DISCIPLINE,PAPER_TYPE,STUDENT_LEVEL,SEX,NATIVENESS,TEXTUAL_FEATURES
BIO.G0.15.1,H,Invading the Territory of Invasives: The Dangers of Biotic Disturbance,Biology,Argumentative Essay,Final Year Undergraduate,Male,NNS (L1: Chinese),Reference to sources
BIO.G1.04.1,H,The Evolution of Terrestriality: A Look at the Factors that Drove Tetrapods to Move Onto Land,Biology,Argumentative Essay,First Year Graduate,Male,NS,"Tables, graphs or figures,  Literature review section,  Reference to sources"
BIO.G3.03.1,H,Intracellular Electric Field Sensing using Nano-sized Voltmeters,Biology,Argumentative Essay,Third Year Graduate,Female,NS, 
BIO.G0.11.1,H,"Exploring the Molecular Responses of Arabidopsis in Hypobaric Environments:
          Identifying Possible Targets for Genetic Engineering",Biology,Proposal,Final Year Undergraduate,Male,NS,"Abstract,  Discussion of results section,  Reference to sources"
BIO.G1.01.1,H,V. Cholerae: First Steps towards a Spatially Explicit Model ,Biology,Proposal,First Year Graduate,Male,NNS (L1: Spanish),"Abstract,  Methodology section,  Reference to sources"
BIO.G1.07.1,H,Zebrafish and PGC mis-migration,Biology,Proposal,First Year Graduate,Male,NNS (L1: Chinese), 
BIO.G2.06.1,H,A Conserved Role of Cas-Spg System in Endoderm Specification during Early Vertebrate Development,Biology,Proposal,Second Year Graduate,Female,NNS (L1: Chinese),"Methodology section,  Problem-solution pattern,  Discussion of results section,  Reference to sources"
BIO.G3.02.1,H,Linking scales to understand diversity,Biology,Proposal,Third Year Graduate,Female,NS,"Definitions,  Literature review section,  Reference to sources"
BIO.G0.01.1,H,The Ecology and Epidemiology of Plague,Biology,Report,Final Year Undergraduate,Female,NS,"Literature review section,  Reference to sources"
BIO.G0.02.1,H,Host-Parasite Interactions: On the Presumed Sympatric Speciation of Vidua,Biology,Report,Final Year Undergraduate,Male,NS,"Tables, graphs or figures,  Reference to sources"
BIO.G0.02.2,H,Sensory Drive and Speciation,Biology,Report,Final Year Undergraduate,Male,NS,Reference to sources
BIO.G0.02.3,H,Plant Pollination Systems: Evolutionary Trends in Generalization and Specialization,Biology,Report,Final Year Undergraduate,Male,NS,Reference to sources
BIO.G0.02.4,H,"Chromosomal Rearrangements, Recombination Suppression, and Speciation: A Review of Rieseberg 2001",Biology,Report,Final Year Undergraduate,Male,NS,Reference to sources
BIO.G0.02.5,H,On the Origins of Man: Understanding the Last Two Million Years,Biology,Report,Final Year Undergraduate,Male,NS,"Definitions,  Discussion of results section,  Tables, graphs or figures,  Reference to sources"
BIO.G0.04.1,SAI,Fetal Endocrine System,Biology,Report,Final Year Undergraduate,Female,NS,"Abstract,  Reference to sources"
BIO.G0.05.1,H,Mn (III) TPPS4: A Metallophorphryin Used for Tumor Identification in MRI,Biology,Report,Final Year Undergraduate,Female,NS,"Methodology section,  Discussion of results section,  Tables, graphs or figures,  Reference to sources"
BIO.G0.06.1,HPAI/LP,Global Reproductive Strategies of Tursiops and Stenella (Family Delphinidae),Biology,Report,Final Year Undergraduate,Female,NS,"Tables, graphs or figures,  Literature review section,  Reference to sources"
BIO.G0.07.1,H,Complementation Between Histidine-Requiring Mutants of Saccharomyces Cerevisiae,Biology,Report,Final Year Undergraduate,Female,NS,"Tables, graphs or figures,  Methodology section,  Problem-solution pattern,  Discussion of results section,  Reference to sources"
BIO.G0.09.1,H,Nest Selection In Weaver Birds,Biology,Report,Final Year Undergraduate,Male,NS,"Problem-solution pattern,  Tables, graphs or figures,  Reference to sources"
BIO.G0.11.3,H,Fungal Eye Infections Due to ReNu MoistureLoc,Biology,Report,Final Year Undergraduate,Male,NS,Reference to sources
BIO.G0.12.2,SAI,Lab Report 2: Plant Biodiversity ,Biology,Report,Final Year Undergraduate,Female,NS,"Definitions,  Discussion of results section,  Reference to sources"
BIO.G0.13.1,SAI,Malaria Disease and Transmission,Biology,Report,Final Year Undergraduate,Female,NS,"Definitions,  Reference to sources"
BIO.G0.16.1,H,Role of Leptin in Cardiovascular Disease,Biology,Report,Final Year Undergraduate,Male,NS,"Definitions,  Tables, graphs or figures,  Reference to sources"
BIO.G0.18.1,H,Mammal Diversification,Biology,Report,Final Year Undergraduate,Male,NS,"Abstract,  Discussion of results section,  Tables, graphs or figures,  Reference to sources"
BIO.G0.19.1,H,Malaria Disease and Transmission,Biology,Report,Final Year Undergraduate,Female,NS, 
BIO.G0.20.1,SAI,A Case for a US International Anti-Malaria Program,Biology,Report,Final Year Undergraduate,Male,NS,"Definitions,  Reference to sources"
BIO.G0.24.1,H,Varying Infectivity of Diplostomum Flexicaudum in Fish Species of Douglas Lake,Biology,Report,Final Year Undergraduate,Female,NS,"Abstract,  Discussion of results section,  Methodology section,  Definitions,  Problem-solution pattern,  Reference to sources"
BIO.G0.25.1,SAI,Malaria in the Twenty-first Century,Biology,Report,Final Year Undergraduate,Female,NS,"Definitions,  Reference to sources"
BIO.G0.26.1,SAI,"Case Analysis for Jean ""Redhorse"" Osceola ",Biology,Report,Final Year Undergraduate,Female,NS,"Problem-solution pattern,  Discussion of results section,  Reference to sources"
BIO.G0.29.1,H,Sexual Selection and Male Sacrifice:  From Darwin until Now,Biology,Report,Final Year Undergraduate,Female,NS,Reference to sources
BIO.G0.30.1,AI/AH,Assessing selection hypotheses for the CCR5-delta32 mutation in Europeans,Biology,Report,Final Year Undergraduate,Male,NS,"Discussion of results section,  Reference to sources"
BIO.G0.32.1,H,Mangrove Deforestation,Biology,Report,Final Year Undergraduate,Male,NS,Reference to sources
BIO.G1.03.1,H,Dispersal: a Review and Synthesis,Biology,Report,First Year Graduate,Female,NS,"Discussion of results section,  Reference to sources"
BIO.G1.06.1,H,Temp effects on nitrogen mineralization,Biology,Report,First Year Graduate,Female,NS,"Discussion of results section,  Reference to sources"
BIO.G1.08.1,H,"Boc, sonic hedgehog and commissural axons",Biology,Report,First Year Graduate,Female,NNS (L1: Chinese), 
BIO.G2.02.1,H,Modularity and the Evolution of Complex Systems,Biology,Report,Second Year Graduate,Female,NS,Reference to sources
BIO.G2.05.1,H,Application of Microarray Analysis in Drosophila,Biology,Report,Second Year Graduate,Male,NNS (L1: Chinese),"Literature review section,  Reference to sources"
BIO.G2.05.2,H,Assignment: Subcellular Protein Localization,Biology,Report,Second Year Graduate,Male,NNS (L1: Chinese),"Definitions,  Methodology section,  Tables, graphs or figures,  Discussion of results section"
BIO.G2.07.1,H,Biofuels and Biodiversity,Biology,Report,Second Year Graduate,Male,NS,"Definitions,  Problem-solution pattern,  Reference to sources"
BIO.G0.02.6,H,Genetic Analysis of Drosophila Melanogaster Mutants: To Determine Inheritance and Linkage Patterns,Biology,Research Paper,Final Year Undergraduate,Male,NS,"Abstract,  Methodology section,  Discussion of results section,  Tables, graphs or figures,  Reference to sources"
BIO.G0.03.1,SAI,Lab 3: Plant Competition,Biology,Research Paper,Final Year Undergraduate,Female,NS,"Discussion of results section,  Tables, graphs or figures,  Reference to sources"
BIO.G0.03.2,SAI,The Effects of Motor Oil on Aquatic Insect Predation,Biology,Research Paper,Final Year Undergraduate,Female,NS,"Abstract,  Methodology section,  Discussion of results section,  Reference to sources"
BIO.G0.03.3,SAI,Comparison of Hypothesis Testing in a High vs. Low-impact Journal,Biology,Research Paper,Final Year Undergraduate,Female,NS,"Methodology section,  Discussion of results section,  Tables, graphs or figures,  Reference to sources"
BIO.G0.04.2,H,Drosophila Lab Report,Biology,Research Paper,Final Year Undergraduate,Female,NS,"Methodology section,  Discussion of results section,  Tables, graphs or figures,  Reference to sources"
BIO.G0.04.3,H,Conjugation Lab Report,Biology,Research Paper,Final Year Undergraduate,Female,NS,"Discussion of results section,  Tables, graphs or figures"
BIO.G0.07.2,H,"Plasmid Transfer, Genetic Stability and Nisin Resistance in Lactococci",Biology,Research Paper,Final Year Undergraduate,Female,NS,"Abstract,  Tables, graphs or figures,  Methodology section,  Discussion of results section,  Literature review section,  Reference to sources"
BIO.G0.07.3,H,Genetic Analysis of a Mutant Strain of Drosophila Melanogaster,Biology,Research Paper,Final Year Undergraduate,Female,NS,"Abstract,  Methodology section,  Discussion of results section,  Tables, graphs or figures,  Reference to sources"
BIO.G0.08.1,H,Analysis of a Mutant Strain of Drosophila,Biology,Research Paper,Final Year Undergraduate,Female,NS,"Abstract,  Methodology section,  Discussion of results section,  Tables, graphs or figures,  Reference to sources"
BIO.G0.10.1,H,Bacterial Conjugation and Gene Mapping in E. Coli,Biology,Research Paper,Final Year Undergraduate,Female,NS,"Abstract,  Tables, graphs or figures,  Methodology section,  Definitions,  Discussion of results section"
BIO.G0.10.2,H,Drosophila Melanogaster Genetic Analysis Experiment,Biology,Research Paper,Final Year Undergraduate,Female,NS,"Abstract,  Methodology section,  Discussion of results section,  Tables, graphs or figures"
BIO.G0.11.2,H,Mapping of Genes in a Mutant Strain of Drosophila Melanogaster,Biology,Research Paper,Final Year Undergraduate,Male,NS,"Abstract,  Tables, graphs or figures,  Methodology section,  Definitions,  Discussion of results section"
BIO.G0.12.1,AI/AH,The Effect of Initial Carbon Dioxide Concentration on the Rate of Photosynthesis in the Aquatic Plant Elodea,Biology,Research Paper,Final Year Undergraduate,Female,NS,"Problem-solution pattern,  Methodology section,  Discussion of results section,  Tables, graphs or figures,  Reference to sources"
